,gender,age,salary,other_income,parent_num,child_num,marriage,risk_type,categories_version,ans_type,risk_question_4_1,risk_question_4_2,risk_question_4_3,risk_question_4_4,risk_question_1_1,risk_question_1_2,risk_question_1_3,risk_question_1_4,risk_question_2_1,risk_question_2_2,risk_question_2_3,risk_question_2_4,risk_question_3_1,risk_question_3_2,risk_question_3_3,risk_question_3_4,risk_question_5_1,risk_question_5_2,risk_question_5_3,risk_question_5_4,risk_question_6_1,risk_question_6_2,risk_question_6_3,risk_question_6_4,risk_question_7_1,risk_question_7_2,risk_question_7_3,risk_question_7_4,risk_question_8_1,risk_question_8_2,risk_question_8_3,risk_question_8_4,risk_question_9_1,risk_question_9_2,risk_question_9_3,risk_question_9_4,risk_question_10_1,risk_question_10_2,risk_question_10_3,risk_question_10_4,Art,Band,Chef,Mood,Show,Actor,Brand,Cause,Color,Event,Gamer,Legal,Music,Topic,Artist,Author,Course,Dancer,Editor,Sports,Writer,Athlete,Blogger,Cuisine,Finance,Profile,Science,Comedian,Designer,Diseases,Election,Fan Page,Language,Locality,Musician,Producer,Community,Education,Orchestra,Residence,Scientist,Surgeries,Journalist,Agriculture,Labor Union,Nationality,Real Estate,Social Club,Sports Club,TV & Movies,Visual Arts,Work Status,Armed Forces,Concert Tour,Entrepreneur,Just For Fun,Meeting Room,Talent Agent,Ticket Sales,Work Project,Fashion Model,Film Director,Fitness Model,Literary Arts,Local Service,Musician/Band,Public Toilet,Satire/Parody,Sports Season,Video Creator,Work Position,Not a Business,Campus Building,Digital Creator,Food & Beverage,Harmonized Page,Hotel & Lodging,Performance Art,Performing Arts,Sports Promoter,Theatrical Play,Exchange Program,Medical & Health,News Personality,Spiritual Leader,Books & Magazines,Community Service,Editorial/Opinion,Shopping & Retail,University (NCES),University Status,Media/News Company,Outdoor Recreation,Youth Organization,City Infrastructure,Sports & Recreation,Arts & Entertainment,Charity Organization,Motivational Speaker,Private Members Club,Advertising/Marketing,Sorority & Fraternity,Nonprofit Organization,Religious Organization,Theatrical Productions,Commercial & Industrial,Travel & Transportation,Country Club / Clubhouse,Media Restoration Service,Religious Place of Worship,"Automotive, Aircraft & Boat",Landmark & Historical Place,Public & Government Service,Automated Teller Machine (ATM),"Beauty, Cosmetic & Personal Care","Science, Technology & Engineering",Non-Governmental Organization (NGO),Environmental Conservation Organization
10,1,22,22000,0,1,0,0,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,32,0,0,0,1,0,2,0,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,0,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11,1,22,22000,0,1,0,0,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,40,0,0,1,1,0,2,0,2,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,6,0,1,1,0,6,0,0,0,1,0,0,0,0,0,0,5,0,0,9,0,0,4,0,0,0,2,6,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,2,3,0,1
12,1,33,10000,30000,1,2,1,2,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1,33,10000,30000,1,2,1,2,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
14,0,45,10000,20000,0,2,1,2,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,14,0,0,0,129,0,0,1,0,0,1,0,8,2,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,1,0,0,23,0,0,2,0,0,0,4,0,0,3,0,0,18,0,0,0,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,24,0,0,0,0,33,0,3,0,1,0,0,0,3,0,0,5,1,0,41,0,0,14,0,0,0,3,2,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,1,0
15,0,45,10000,20000,0,2,1,2,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,16,0,0,2,163,0,0,1,0,0,4,0,10,2,0,0,0,0,1,0,14,0,0,0,0,2,0,0,0,0,0,3,0,0,24,1,0,6,0,0,0,5,0,0,3,0,0,28,0,0,0,0,2,12,0,0,0,0,0,0,0,0,17,3,0,0,0,29,0,1,0,0,52,0,3,0,1,0,0,0,3,0,0,6,1,0,62,0,0,27,0,0,0,4,4,0,0,0,2,0,0,0,0,0,6,0,0,1,1,0,0,0,8,0,1,0
16,1,21,10000,100000,2,0,0,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,0,0,1,7,82,0,0,0,2,1,10,0,28,0,0,0,0,0,4,10,6,0,1,0,0,3,0,0,0,1,0,1,2,1,21,30,0,2,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,2,0,0,0,13,41,0,0,0,11,0,0,1,1,13,0,1,0,3,0,0,0,6,0,0,2,1,0,21,0,0,6,0,0,1,9,6,0,1,0,4,0,4,0,0,1,1,0,0,0,1,0,2,0,1,13,0,0
17,1,21,10000,100000,2,0,0,2,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,4,0,0,1,8,95,0,0,0,3,1,14,0,36,0,0,0,0,1,5,10,9,0,1,0,0,3,1,0,0,1,0,2,3,1,24,36,0,3,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,8,0,0,0,0,3,0,0,0,20,59,0,0,0,17,0,0,2,1,14,0,1,0,6,0,0,0,7,0,0,6,1,0,32,0,0,9,1,0,1,11,11,0,1,0,6,0,4,0,0,2,1,0,0,1,1,1,3,0,3,14,0,0
18,1,22,70000,0,2,0,0,3,1,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,20,0,0,1,1,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
19,1,22,70000,0,2,0,0,3,2,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,26,0,0,2,1,0,1,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
20,1,22,45000,0,2,0,0,3,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,3,288,0,0,2,1,1,4,0,26,1,0,1,0,2,4,13,14,0,0,0,0,3,0,0,0,0,0,0,1,4,41,20,0,1,0,0,1,0,0,0,2,1,1,29,0,0,0,2,1,6,0,1,0,0,0,0,0,0,22,18,0,0,0,19,0,2,2,1,54,0,3,0,1,0,0,0,0,0,0,15,0,0,86,0,0,27,0,0,0,40,8,0,0,0,4,0,3,0,0,1,2,0,0,0,43,0,2,0,2,11,0,0
21,1,22,45000,0,2,0,0,3,2,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,5,339,0,0,2,4,1,4,0,31,1,0,1,0,6,4,13,16,0,2,0,0,3,0,0,0,0,0,0,3,5,49,27,0,2,0,0,2,0,0,0,2,1,3,36,1,0,0,3,1,10,0,1,0,0,0,0,0,0,43,20,0,0,0,31,0,2,2,1,59,0,3,0,1,0,0,0,0,0,0,20,0,0,133,0,0,37,1,0,0,50,11,0,0,0,8,0,3,0,0,3,2,0,0,0,51,0,3,0,4,19,0,0
22,1,21,15000,250000,2,0,0,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,103,1,0,1,10,0,2,0,4,1,0,0,0,3,1,14,6,0,3,0,0,0,0,0,0,0,0,2,0,0,11,32,0,1,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,4,0,0,0,21,0,0,2,0,20,0,0,0,1,0,0,0,1,0,0,1,0,0,43,0,0,9,0,0,0,13,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0
23,1,21,15000,250000,2,0,0,3,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,133,1,0,1,15,0,2,0,5,2,0,0,0,3,1,14,11,0,4,0,0,0,0,0,0,0,0,4,1,0,17,38,0,2,0,0,1,0,0,0,0,0,2,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,20,7,0,0,0,34,0,0,2,0,22,0,0,0,1,0,0,0,2,0,0,2,1,0,57,0,0,16,1,0,0,16,8,0,0,0,4,1,1,0,0,0,0,0,0,0,1,2,1,0,0,16,0,0
24,0,23,22000,0,2,0,0,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,53,0,0,1,0,0,1,0,47,1,0,1,0,0,8,1,4,0,0,0,0,3,0,0,0,0,0,0,2,1,51,26,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,1,7,0,0,0,0,1,0,0,0,6,5,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,6,0,0,17,0,0,16,0,1,0,1,3,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0
25,0,23,22000,0,2,0,0,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,2,69,0,0,1,0,0,1,0,49,2,0,1,0,0,10,1,5,0,0,0,0,3,0,0,0,0,0,0,2,1,52,32,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,1,13,0,0,0,0,1,0,0,0,11,6,0,0,0,13,0,1,1,2,5,0,0,0,0,0,0,0,1,0,0,10,0,0,20,0,0,21,0,1,0,3,9,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,2,0,1,5,0,0
26,0,25,80000,0,2,0,0,2,1,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,2,102,1,0,3,0,0,3,0,15,3,0,0,0,1,8,0,15,0,1,0,0,3,0,0,0,1,0,1,3,0,46,28,0,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,7,0,0,0,0,0,0,0,0,11,35,0,0,0,4,0,1,0,0,53,0,1,0,0,0,0,0,15,0,0,3,0,0,20,0,0,13,1,0,0,1,9,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,12,1,1,0
27,0,25,80000,0,2,0,0,2,2,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,2,124,1,0,5,0,0,3,0,19,4,0,0,0,1,9,0,16,0,1,0,0,3,0,0,0,1,0,2,3,0,49,34,0,1,0,0,0,0,0,0,0,0,0,19,1,0,0,1,0,13,0,0,0,0,0,0,0,0,17,39,0,0,0,7,0,2,0,1,54,0,1,0,0,0,0,0,19,1,0,5,0,1,34,0,0,18,2,0,0,2,13,1,1,0,1,0,8,0,0,0,3,0,0,0,0,0,2,0,14,1,2,1
28,0,22,22000,0,1,0,0,2,1,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,55,0,0,1,0,0,8,0,20,1,0,0,0,1,4,2,3,0,1,1,0,0,0,0,0,0,0,1,3,0,25,29,0,0,0,0,0,7,0,0,0,0,0,25,0,0,0,1,0,7,0,0,0,0,0,0,0,0,6,15,0,0,0,8,0,1,3,1,8,0,0,0,1,0,0,0,4,0,0,4,0,0,7,0,0,22,1,0,0,4,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,4,0,0
29,0,22,22000,0,1,0,0,2,2,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,7,64,0,0,1,0,0,10,0,25,1,0,0,0,2,6,2,6,0,2,1,0,1,0,0,0,1,0,2,3,0,32,42,0,2,0,0,0,8,0,0,1,0,0,27,0,0,0,2,0,11,0,0,0,0,0,0,0,0,13,22,1,0,0,14,0,1,3,1,11,0,0,0,2,0,0,0,4,1,0,7,0,0,9,0,0,28,1,0,0,5,7,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,3,5,0,0
30,1,24,40000,350000,0,0,0,2,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
31,1,24,40000,350000,0,0,0,2,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
32,1,23,25000,5000,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,77,0,0,0,6,0,2,0,28,1,0,1,0,1,3,0,12,0,0,0,0,2,0,0,0,1,0,0,0,2,36,21,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,0,0,0,0,3,6,0,0,0,17,0,1,0,0,17,0,2,0,0,0,0,0,2,0,0,4,1,0,5,0,0,4,0,1,0,4,4,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0
33,1,23,25000,5000,0,0,0,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,3,1,0,0,2,97,0,0,0,9,0,2,0,34,2,0,1,0,3,3,1,16,0,0,0,0,2,0,0,0,1,0,0,0,2,39,24,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,2,12,0,0,0,0,0,0,0,0,7,9,0,0,0,27,0,4,0,0,18,0,2,0,0,0,0,0,2,1,0,6,1,0,8,0,0,8,0,1,0,7,12,1,0,0,0,0,8,0,0,1,1,0,0,1,0,2,1,0,1,5,0,0
